공포 확률,중립 확률,탐욕 확률,공포탐욕지수
0.0513,0.9133,0.0354,49.21
0.3008,0.5487,0.1504,42.48
0.0821,0.8681,0.0497,48.38
0.1191,0.8139,0.067,47.4
0.234,0.483,0.2829,52.44
0.0437,0.8084,0.1479,55.21
0.1238,0.8138,0.0624,46.93
0.5012,0.2552,0.2436,37.12
0.0611,0.8422,0.0966,51.77
0.3118,0.4699,0.2183,45.32
0.2853,0.6579,0.0569,38.58
0.105,0.5885,0.3064,60.07
0.0515,0.8926,0.0559,50.22
0.0629,0.1687,0.7684,85.27
0.0809,0.5386,0.3805,64.98
0.3672,0.3652,0.2676,45.02
0.3337,0.349,0.3173,49.18
0.1333,0.7995,0.0672,46.7
0.0285,0.9582,0.0133,49.24
0.0527,0.926,0.0212,48.43
0.0391,0.9486,0.0123,48.66
0.1631,0.789,0.0478,44.23
0.0756,0.5207,0.4037,66.41
0.0233,0.9628,0.0139,49.53
0.1794,0.4333,0.3872,60.39
0.1132,0.7841,0.1027,49.48
0.0189,0.1205,0.8605,92.08
0.3581,0.4267,0.2152,42.86
0.1957,0.282,0.5223,66.33
0.0225,0.1472,0.8303,90.39
0.2835,0.1949,0.5216,61.91
0.175,0.7514,0.0736,44.93
0.054,0.8657,0.0803,51.31
0.263,0.355,0.382,55.95
0.3447,0.4485,0.2069,43.11
0.25,0.5384,0.2117,48.08
0.0639,0.8932,0.0429,48.95
0.0446,0.9353,0.0201,48.78
0.0501,0.9061,0.0438,49.68
0.1189,0.8265,0.0546,46.78
0.2838,0.6095,0.1067,41.15
0.0354,0.9502,0.0144,48.95
0.0271,0.8982,0.0747,52.38
0.0732,0.8579,0.0689,49.79
0.2355,0.5506,0.2138,48.92
0.0378,0.0502,0.912,93.71
0.0295,0.9491,0.0213,49.59
0.2064,0.1243,0.6692,73.14
0.0702,0.8574,0.0724,50.11
0.0288,0.0728,0.8985,93.49
0.1358,0.5287,0.3355,59.98
0.0663,0.5504,0.3833,65.85
0.1104,0.7554,0.1342,51.19
0.0358,0.9394,0.0247,49.45
0.1698,0.6736,0.1565,49.34
0.0705,0.8878,0.0418,48.57
0.0293,0.9017,0.069,51.99
0.1157,0.8002,0.0841,48.42
0.1362,0.1823,0.6815,77.27
0.092,0.8388,0.0692,48.86
0.0399,0.9389,0.0212,49.06
0.0861,0.8637,0.0502,48.21
0.0273,0.9584,0.0143,49.35
0.0309,0.0614,0.9077,93.84
0.0534,0.9214,0.0251,48.58
0.0817,0.8568,0.0615,48.99
0.1616,0.7673,0.071,45.47
0.3434,0.1855,0.4711,56.38
0.219,0.6848,0.0962,43.86
0.0352,0.9233,0.0415,50.31
0.0921,0.8419,0.066,48.7
0.0793,0.8773,0.0434,48.2
0.1386,0.7577,0.1036,48.25
0.3502,0.1881,0.4617,55.57
0.1827,0.6639,0.1534,48.54
0.0583,0.7934,0.1482,54.5
0.0411,0.9455,0.0134,48.62
0.0402,0.9227,0.0371,49.85
0.0787,0.3037,0.6176,76.94
0.0316,0.0819,0.8865,92.75
0.0657,0.82,0.1143,52.43
0.07,0.8871,0.0429,48.64
0.0562,0.2828,0.661,80.24
0.0485,0.8672,0.0843,51.79
0.0223,0.0863,0.8914,93.45
0.4019,0.4109,0.1871,39.26
0.046,0.9183,0.0357,49.48
0.022,0.9438,0.0342,50.61
0.141,0.7082,0.1508,50.49
0.0779,0.811,0.111,51.66
0.0606,0.4245,0.515,72.72
0.1147,0.8242,0.0611,47.32
0.3173,0.4877,0.1951,43.89
0.0183,0.9414,0.0403,51.1
0.0534,0.8879,0.0587,50.26
0.0279,0.9584,0.0137,49.29
0.021,0.9482,0.0308,50.49
0.0608,0.9045,0.0348,48.7
0.2099,0.6591,0.131,46.06
0.0624,0.9011,0.0365,48.71
0.0189,0.9362,0.0449,51.3
0.046,0.2077,0.7464,85.02
0.0384,0.929,0.0326,49.71
0.0591,0.9145,0.0265,48.37
0.1255,0.8025,0.072,47.32
0.035,0.9121,0.0528,50.89
0.3717,0.1699,0.4584,54.34
0.109,0.1995,0.6915,79.12
0.033,0.8706,0.0964,53.17
0.0191,0.0494,0.9315,95.62
0.067,0.8674,0.0656,49.93
0.05,0.9356,0.0144,48.22
0.0697,0.8976,0.0327,48.15
0.1878,0.7565,0.0557,43.39
0.0308,0.9414,0.0278,49.85
0.0431,0.9332,0.0237,49.03
0.0437,0.2186,0.7378,84.71
0.0327,0.7107,0.2566,61.2
0.1014,0.7927,0.1059,50.22
0.0502,0.5829,0.3669,65.84
0.0585,0.0707,0.8709,90.62
0.1878,0.24,0.5722,69.22
0.3164,0.2971,0.3866,53.51
0.0172,0.9561,0.0267,50.48
0.2968,0.6187,0.0846,39.39
0.1119,0.812,0.076,48.21
0.0736,0.3818,0.5447,73.56
0.0427,0.9347,0.0226,48.99
0.0884,0.8418,0.0698,49.07
0.0367,0.4884,0.4749,71.91
0.0268,0.9411,0.0321,50.26
0.409,0.3668,0.2242,40.76
0.0693,0.7918,0.1388,53.47
0.0192,0.067,0.9137,94.73
0.1296,0.397,0.4734,67.19
0.1619,0.7879,0.0502,44.41
0.0384,0.9439,0.0177,48.96
0.0405,0.215,0.7445,85.2
0.0307,0.9209,0.0484,50.88
0.2054,0.304,0.4906,64.26
0.0552,0.806,0.1387,54.18
0.0688,0.6278,0.3034,61.73
0.0437,0.7618,0.1945,57.54
0.0278,0.9294,0.0427,50.75
0.0354,0.9502,0.0144,48.95
0.0354,0.9502,0.0144,48.95
0.0483,0.6394,0.3123,63.2
0.0543,0.6976,0.2482,59.69
0.0664,0.7747,0.159,54.63
0.0339,0.9373,0.0288,49.75
0.181,0.7095,0.1094,46.42
0.0225,0.0725,0.905,94.13
0.1043,0.85,0.0457,47.07
0.2278,0.6761,0.0962,43.42
0.0201,0.9471,0.0329,50.64
0.0477,0.667,0.2853,61.88
0.2579,0.2245,0.5176,62.99
0.0292,0.1427,0.8281,89.95
0.1597,0.647,0.1932,51.67
0.1406,0.5023,0.3571,60.83
0.153,0.7395,0.1074,47.72
0.0647,0.8994,0.0359,48.56
0.036,0.9061,0.0579,51.09
0.0611,0.6901,0.2488,59.39
0.084,0.8798,0.0363,47.61
0.0334,0.9165,0.0501,50.83
0.0556,0.403,0.5413,74.28
0.0276,0.9503,0.0221,49.73
0.0366,0.2437,0.7197,84.15
0.2767,0.4175,0.3058,51.45
0.0949,0.7713,0.1338,51.95
0.1311,0.817,0.0518,46.03
0.0727,0.8716,0.0558,49.15
0.0275,0.0588,0.9137,94.31
0.0783,0.791,0.1307,52.62
0.0206,0.0656,0.9137,94.65
0.357,0.2325,0.4106,52.68
0.1351,0.7753,0.0897,47.73
